"DADOS DO MUNICÍPIO - 

Nome do município
cod:municipio","DADOS DO MUNICÍPIO - 

Código IBGE (6 dígitos)
cod:ibge6","DADOS DO MUNICÍPIO - 

Código IBGE (7 dígitos)
cod:ibge7","Municipios que aderiram ao Criança Feliz.

Fonte: Sedese/DSBS/Consulta em 15/06/2026","Municipios com o serviço Família Acolhedora 

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Criança e Adolescente

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Idosos

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para PCD

Fonte: MDS/CadSUAS. Consulta em 15/06/2026"
CACHOEIRA DE MINAS,310970,3109709,-,1,1,1,
CACHOEIRA DE PAJEU,310270,3102704,Aderiu,0,0,0,
CACHOEIRA DOURADA,310980,3109808,-,0,0,0,
CAETANOPOLIS,310990,3109907,Aderiu,0,1,1,
CAETE,311000,3110004,-,1,2,2,
CAIANA,311010,3110103,Aderiu,0,0,0,
CAJURI,311020,3110202,-,0,0,0,
CALDAS,311030,3110301,-,0,0,1,
CAMACHO,311040,3110400,-,0,0,0,
CAMANDUCAIA,311050,3110509,-,0,1,1,
CAMBUI,311060,3110608,-,0,1,1,
CAMBUQUIRA,311070,3110707,Aderiu,0,1,1,
CAMPANARIO,311080,3110806,Aderiu,0,0,0,
CAMPANHA,311090,3110905,Aderiu,0,0,1,
CAMPESTRE,311100,3111002,-,0,1,1,
CAMPINA VERDE,311110,3111101,Aderiu,1,2,1,
CAMPO AZUL,311115,3111150,Aderiu,0,0,0,
CAMPO BELO,311120,3111200,-,0,1,1,
CAMPO DO MEIO,311130,3111309,Aderiu,0,0,1,
CAMPO FLORIDO,311140,3111408,Aderiu,0,0,0,
CAMPOS ALTOS,311150,3111507,-,0,1,1,
CAMPOS GERAIS,311160,3111606,Aderiu,0,1,0,
CANA VERDE,311190,3111903,-,0,0,1,
CANAA,311170,3111705,-,0,0,0,
CANAPOLIS,311180,3111804,-,0,1,0,
CANDEIAS,311200,3112000,Aderiu,0,1,1,
CANTAGALO,311205,3112059,-,0,1,0,
CAPARAO,311210,3112109,Aderiu,0,0,0,
CAPELA NOVA,311220,3112208,-,0,0,0,
CAPELINHA,311230,3112307,-,0,2,3,
CAPETINGA,311240,3112406,-,0,0,1,
CAPIM BRANCO,311250,3112505,-,0,0,1,
CAPINOPOLIS,311260,3112604,Aderiu,0,1,1,
CAPITAO ANDRADE,311265,3112653,Aderiu,0,0,0,
CAPITAO ENEAS,311270,3112703,Aderiu,0,1,0,
CAPITOLIO,311280,3112802,-,0,0,1,
CAPUTIRA,311290,3112901,Aderiu,0,0,0,
CARAI,311300,3113008,-,0,1,0,
CARANAIBA,311310,3113107,-,0,1,0,
CARANDAI,311320,3113206,-,0,1,0,
CARANGOLA,311330,3113305,Aderiu,1,2,2,
CARATINGA,311340,3113404,Aderiu,1,3,2,
CARBONITA,311350,3113503,Aderiu,0,0,1,
CAREACU,311360,3113602,-,0,0,1,
CARLOS CHAGAS,311370,3113701,Aderiu,1,1,1,
